date,portfolio_value,num_holdings
2021-12-31,0.9059704931126806,50
2022-01-31,0.9098151341647698,50
2022-02-28,0.9744857780677969,50
2022-03-31,0.9361242231278366,50
2022-04-30,0.9869334150177749,50
2022-05-31,0.8833202603421841,50
2022-06-30,0.9247629442479909,50
2022-07-31,0.9410914646924757,50
2022-08-31,0.8683030811589338,50
2022-09-30,0.991866207651486,50
2022-10-31,1.0200576293060561,50
2022-11-30,0.9738364279278805,50
2022-12-31,1.0006626976441764,50
2023-01-31,0.983960866969858,50
2023-02-28,0.9953881286575814,50
2023-03-31,1.0167469095003867,50
2023-04-30,1.006563758235081,50
2023-05-31,1.0586066439412132,50
2023-06-30,1.0671787935185928,50
2023-07-31,1.0626687121280345,50
2023-08-31,1.0181011237439963,50
2023-09-30,1.001939078820545,50
2023-10-31,1.1042183122442149,50
2023-11-30,1.1420876461019798,50
2023-12-31,1.225683725088997,50
2024-01-31,1.35761755375623,50
2024-02-29,1.4352826759664359,50
2024-03-31,1.3709514726728458,50
2024-04-30,1.4517415766400152,50
2024-05-31,1.4304698189401595,50
2024-06-30,1.4185180708856773,50
2024-07-31,1.4993937507756987,50
2024-08-31,1.568066799704312,50
2024-09-30,1.6068382150599523,50
2024-10-31,1.8134632075259112,50
2024-11-30,1.704823058699934,50
2024-12-31,1.704823058699934,50
